#0. #1. #2. #3. #4.

# H10
#3.2 3.2 3.2 3.4 3.5
#3.2 3.2 3.5 3.8 3.4
#1.7 2.9 1.4 1.7 2.6
#2.0 1.3 2.3 1.5 1.7
#2.2 1.1 1.1 1.2 1.5

#2.5 2.3 2.0 2.1 2.0
#1.7 0.7 1.4 1.6 2.0
#1.9 1.3 1.3 2.2 1.5
#2.2 2.3 2.2 1.8 2.2
#1.5 0.9 1.3 1.5 1.9

### Run 4 (ny gatingstrategi 20.09.21)
### P8
4.6 4.4 4.5 4.8 4.0
5.8 4.1 5.3 4.8 5.0
3.7 3.4 3.6 3.6 3.6
4.4 3.9 3.8 4.3 5.0
4.3 4.4 4.4 4.9 4.2

6.0 5.5 5.8 6.5 5.1
8.0 5.9 7.0 6.8 7.2
3.8 3.2 3.7 3.7 3.3
3.9 3.5 4.0 3.6 4.0
3.6 3.5 3.9 4.4 4.4

6.3 7.0 7.5 7.5 5.7
3.0 3.4 3.5 3.3 2.9
3.1 2.7 3.4 2.9 3.0
4.5 4.0 5.0 5.7 4.5
4.0 4.7 4.1 4.7 3.9


### Run 2
### M1 --> P5
3.2 2.6 2.8 2.3 3.7
3.6 3.4 3.6 2.7 3.5
2.2 1.0 1.2 1.6 1.9
2.7 2.1 2.5 1.9 1.8
2.0 2.3 2.9 2.0 2.2

3.9 2.9 3.0 2.5 3.6
4.2 2.9 3.1 2.9 4.1
2.2 3.1 1.4 1.6 1.5
2.1 1.3 2.0 1.9 1.5
2.3 1.3 1.4 1.5 1.8

2.8 3.4 2.3 2.4 2.5
1.3 0.7 1.5 1.6 1.7
1.8 1.5 1.5 2.0 1.6
2.4 2.5 2.2 2.3 2.4
1.8 1.2 1.0 1.7 1.5

### Run 3
### M2 --> Q1-UR
9.3 7.8 8.3 11.4 9.0
9.2 9.0 8.7 9.2 9.4
3.6 3.5 3.2 4.1 4.7
5.1 6.4 5.6 5.0 6.6
5.5 4.6 5.3 6.5 5.9

8.2 10.6 7.6 8.1 9.2
6.9 9.3 8.5 6.8 7.6
5.1 10.3 5.7 4.5 6.2
5.4 4.9 5.5 5.1 6.3
7.6 3.8 2.9 3.1 5.6

6.7 6.1 5.8 6.3 8.2
5.0 3.5 5.1 4.8 5.5
5.8 4.2 4.7 5.9 6.0
5.7 5.3 5.2 5.8 7.6
3.8 3.4 2.6 4.9 5.8


#H25
6.0 6.0 12.5
6.1 7.0 12.4
7.5 6.1 13.9
5.0 5.0 12.2
7.6 7.6 16.6

5.5 7.1 12.5
4.6 6.5 9.1
5.9 6.5 12.0
5.4 6.0 9.8
6.4 6.5 10.8

6.6 7.3 7.5
6.1 6.8 7.3
6.8 8.3 8.5
7.6 8.2 9.2
4.7 6.8 7.2


#H26
5.2 7.1 8.1
7.6 8.5 8.6
